         10509189 function calls (10508351 primitive calls) in 33.494 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       80    0.000    0.000    0.000    0.000 collections.py:277(<genexpr>)
       26    0.000    0.000    0.000    0.000 core.py:816(__init__)
        5    0.000    0.000    0.000    0.000 {open}
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:27(<module>)
        1    0.000    0.000    0.000    0.000 utils.py:3(<module>)
       46    0.000    0.000    0.000    0.000 abc.py:89(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:10(<module>)
      146    0.000    0.000    0.000    0.000 sre_parse.py:90(__init__)
       20    0.000    0.000    0.000    0.000 posixpath.py:118(dirname)
        1    0.000    0.000    0.000    0.000 shutil.py:5(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 decoder.py:20(_floatconstants)
        1    0.000    0.000    0.000    0.000 __init__.py:265(_reset_cache)
       38    0.000    0.000    0.000    0.000 sre_parse.py:72(opengroup)
        1    0.000    0.000    0.000    0.000 {method 'decode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 ImagePalette.py:19(<module>)
       19    0.000    0.000    0.000    0.000 sre_parse.py:178(__init__)
       12    0.000    0.000    0.000    0.000 {PIL._imaging.crc32}
       10    0.000    0.000    0.000    0.000 {method 'write' of 'file' objects}
        6    0.000    0.000    0.000    0.000 PngImagePlugin.py:110(call)
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:71(search_function)
       14    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
       31    0.000    0.000    0.000    0.000 sre_parse.py:257(_escape)
        1    0.000    0.000    0.000    0.000 numerictypes.py:785(_construct_lookups)
        1    0.000    0.000    0.000    0.000 numerictypes.py:456(_set_array_types)
        3    0.000    0.000    0.000    0.000 decimal.py:3776(__init__)
      134    0.000    0.000    0.000    0.000 sre_parse.py:210(isident)
        1    0.000    0.000    0.000    0.000 fftpack.py:32(<module>)
       38    0.000    0.000    0.000    0.000 sre_compile.py:474(isstring)
        1    0.000    0.000    0.000    0.000 signals.py:1(<module>)
      138    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
      126    0.000    0.000    0.000    0.000 {method 'groups' of '_sre.SRE_Match' objects}
       18    0.000    0.000    0.000    0.000 core.py:900(__init__)
       40    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
       38    0.000    0.000    0.000    0.000 sre_parse.py:83(closegroup)
       43    0.000    0.000    0.000    0.000 _inspect.py:161(<lambda>)
        1    0.000    0.000    0.000    0.000 hashlib.py:55(<module>)
       40    0.000    0.000    0.000    0.000 _inspect.py:24(isfunction)
        1    0.000    0.000    0.000    0.000 sysfont.py:21(<module>)
      129    0.000    0.000    0.000    0.000 sre_compile.py:24(_identityfunction)
       40    0.000    0.000    0.000    0.000 numerictypes.py:157(english_upper)
       14    0.000    0.000    0.000    0.000 __init__.py:147(_check_size)
      126    0.000    0.000    0.000    0.000 {method 'join' of 'unicode' objects}
        3    0.000    0.000    0.000    0.000 PngImagePlugin.py:206(chunk_IHDR)
      115    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       56    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       74    0.000    0.000    0.000    0.000 _inspect.py:150(strseq)
        1    0.000    0.000    0.000    0.000 JpegImagePlugin.py:35(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:78(CFUNCTYPE)
       30    0.000    0.000    0.000    0.000 numerictypes.py:448(_add_array_type)
        1    0.000    0.000    0.000    0.000 threading.py:763(__init__)
        6    0.000    0.000    0.000    0.000 decimal.py:515(__new__)
        1    0.000    0.000    0.000    0.000 core.py:2568(MaskedArray)
        1    0.000    0.000    0.000    0.000 result.py:26(TestResult)
       10    0.000    0.000    0.000    0.000 Image.py:2114(register_extension)
       31    0.000    0.000    0.000    0.000 _inspect.py:37(iscode)
        3    0.000    0.000    0.000    0.000 PngImagePlugin.py:117(crc)
        1    0.000    0.000    0.000    0.000 polyutils.py:33(<module>)
       12    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x8a6280}
       88    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 defmatrix.py:195(matrix)
        1    0.000    0.000    0.000    0.000 numerictypes.py:433(_construct_char_code_lookup)
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
        3    0.000    0.000    0.000    0.000 result.py:14(failfast)
        6    0.000    0.000    0.000    0.000 Image.py:460(_new)
        2    0.000    0.000    0.000    0.000 posixpath.py:341(abspath)
       23    0.000    0.000    0.000    0.000 sre_compile.py:51(fixup)
       62    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
       24    0.000    0.000    0.000    0.000 string.py:229(upper)
       14    0.000    0.000    0.000    0.000 numerictypes.py:184(english_capitalize)
        5    0.000    0.000    0.000    0.000 PngImagePlugin.py:423(o32)
       55    0.000    0.000    0.000    0.000 utils.py:108(__init__)
       51    0.000    0.000    0.000    0.000 {method 'tell' of 'file' objects}
       15    0.000    0.000    0.000    0.000 Image.py:606(load)
       55    0.000    0.000    0.000    0.000 utils.py:93(_set_function_name)
        1    0.000    0.000    0.000    0.000 hex_codec.py:8(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:493(PYFUNCTYPE)
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
       76    0.000    0.000    0.000    0.000 {globals}
       68    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
        3    0.000    0.000    0.000    0.000 functools.py:17(update_wrapper)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:7(<module>)
        3    0.000    0.000    0.000    0.000 PngImagePlugin.py:375(load_prepare)
        2    0.000    0.000    0.000    0.000 posixpath.py:312(normpath)
       12    0.000    0.000    0.000    0.000 ctypeslib.py:306(prep_simple)
        3    0.000    0.000    0.000    0.000 Image.py:371(_getdecoder)
